Transaction_ID,UPI_Handle,Amount,Transaction_Type,Timestamp,Recipient_UPI,Bank_Name,Device_IP
TXN_000020,victim.sharma@okaxis,23750,CREDIT,2026-08-26 18:46:30.924365,mule.1@okhdfcbank,SBI,37.187.112.30
TXN_000021,mule.2@okhdfcbank,28657,DEBIT,2026-09-18 23:46:30.924365,mule.4@okhdfcbank,SBI,41.22.58.158
TXN_000022,victim.sharma@okaxis,10869,TRANSFER,2026-09-11 17:46:30.924365,mule.5@okhdfcbank,HDFC,254.78.60.0
TXN_000023,victim.sharma@okaxis,49429,TRANSFER,2026-09-18 18:46:30.924365,mule.3@okhdfcbank,ICICI,31.197.163.116
TXN_000024,mule.2@okhdfcbank,47444,TRANSFER,2026-08-24 02:46:30.924365,mule.3@okhdfcbank,ICICI,110.21.183.2
TXN_000025,mule.1@okhdfcbank,26165,TRANSFER,2026-09-17 00:46:30.924365,mule.4@okhdfcbank,Kotak,181.238.58.183
TXN_000026,victim.sharma@okaxis,13937,TRANSFER,2026-09-13 16:46:30.924365,mule.2@okhdfcbank,Axis,115.126.223.148
TXN_000027,mule.3@okhdfcbank,4133,DEBIT,2026-09-13 10:46:30.924365,mule.3@okhdfcbank,Axis,122.239.21.16
TXN_000028,victim.sharma@okaxis,14420,DEBIT,2026-09-16 14:46:30.924365,mule.1@okhdfcbank,Axis,145.237.123.114
TXN_000029,victim.patel@okidfcbank,43189,TRANSFER,2026-08-21 10:46:30.924365,mule.1@okhdfcbank,ICICI,165.206.101.218
TXN_000030,victim.patel@okidfcbank,28040,TRANSFER,2026-09-07 21:46:30.924365,mule.5@okhdfcbank,SBI,84.78.118.111
TXN_000031,victim.patel@okidfcbank,21170,TRANSFER,2026-08-24 15:46:30.924365,mule.3@okhdfcbank,ICICI,49.232.120.68
TXN_000032,victim.patel@okidfcbank,42396,DEBIT,2026-09-08 05:46:30.924365,victim.sharma@okaxis,HDFC,9.75.147.203
TXN_000033,victim.patel@okidfcbank,35930,TRANSFER,2026-09-20 05:46:30.924365,mule.1@okhdfcbank,ICICI,79.27.29.242
TXN_000034,mule.4@okhdfcbank,34184,DEBIT,2026-09-14 23:46:30.924365,mule.2@okhdfcbank,Axis,185.146.139.105
TXN_000035,mule.3@okhdfcbank,21692,TRANSFER,2026-09-08 21:46:30.924365,victim.patel@okidfcbank,HDFC,128.139.101.47
TXN_000036,victim.patel@okidfcbank,34531,TRANSFER,2026-08-26 13:46:30.924365,mule.2@okhdfcbank,SBI,81.123.216.231
TXN_000037,victim.patel@okidfcbank,2315,TRANSFER,2026-09-10 09:46:30.924365,mule.2@okhdfcbank,SBI,36.242.63.35
TXN_000038,victim.patel@okidfcbank,32382,TRANSFER,2026-08-30 01:46:30.924365,mule.2@okhdfcbank,ICICI,162.95.134.129
TXN_000039,mule.1@okhdfcbank,23657,DEBIT,2026-09-11 11:46:30.924365,mule.2@okhdfcbank,Kotak,242.76.39.17
TXN_000040,victim.patel@okidfcbank,21804,DEBIT,2026-09-14 01:46:30.924365,mule.2@okhdfcbank,SBI,52.139.74.14
TXN_000041,victim.sharma@okaxis,40109,TRANSFER,2026-09-14 21:46:30.924365,victim.patel@okidfcbank,Axis,109.60.194.228
TXN_000042,victim.sharma@okaxis,26426,DEBIT,2026-09-10 19:46:30.924365,mule.1@okhdfcbank,Kotak,159.136.167.139
TXN_000043,mule.4@okhdfcbank,3243,TRANSFER,2026-09-07 01:46:30.924365,mule.5@okhdfcbank,SBI,191.121.172.189
TXN_000044,victim.sharma@okaxis,25680,DEBIT,2026-09-03 15:46:30.924365,mule.1@okhdfcbank,Kotak,126.150.236.165
TXN_000045,victim.sharma@okaxis,11199,CREDIT,2026-08-21 01:46:30.924365,mule.5@okhdfcbank,ICICI,42.34.247.77
TXN_000046,victim.sharma@okaxis,37624,DEBIT,2026-09-07 00:46:30.924365,mule.5@okhdfcbank,Axis,104.5.232.197
TXN_000047,victim.patel@okidfcbank,18595,CREDIT,2026-09-13 11:46:30.924365,mule.3@okhdfcbank,SBI,166.73.172.238
TXN_000048,victim.sharma@okaxis,43110,TRANSFER,2026-09-15 09:46:30.924365,victim.patel@okidfcbank,Axis,17.57.107.46
TXN_000049,mule.1@okhdfcbank,18991,CREDIT,2026-08-26 11:46:30.924365,mule.1@okhdfcbank,Axis,79.165.122.34
TXN_000050,victim.patel@okidfcbank,14802,CREDIT,2026-09-13 13:46:30.924365,mule.4@okhdfcbank,ICICI,107.60.166.226
TXN_000051,mule.5@okhdfcbank,13353,CREDIT,2026-09-18 08:46:30.924365,mule.1@okhdfcbank,HDFC,10.158.4.149
TXN_000052,victim.sharma@okaxis,12235,CREDIT,2026-08-28 13:46:30.924365,mule.4@okhdfcbank,Axis,68.186.130.190
TXN_000053,victim.sharma@okaxis,36657,DEBIT,2026-08-29 08:46:30.924365,mule.4@okhdfcbank,ICICI,173.181.112.176
TXN_000054,victim.patel@okidfcbank,23912,TRANSFER,2026-09-17 18:46:30.924365,mule.2@okhdfcbank,SBI,42.29.55.246
TXN_000055,victim.sharma@okaxis,19849,TRANSFER,2026-09-07 15:46:30.924365,mule.1@okhdfcbank,Kotak,201.102.71.89
TXN_000056,victim.sharma@okaxis,9922,TRANSFER,2026-09-06 18:46:30.924365,victim.sharma@okaxis,Axis,184.87.149.122
TXN_000057,victim.sharma@okaxis,32472,TRANSFER,2026-09-02 19:46:30.924365,victim.sharma@okaxis,HDFC,59.254.169.217
TXN_000058,victim.patel@okidfcbank,22907,DEBIT,2026-09-17 17:46:30.924365,mule.4@okhdfcbank,Axis,67.187.102.37
TXN_000059,victim.patel@okidfcbank,31208,DEBIT,2026-09-09 22:46:30.924365,mule.5@okhdfcbank,HDFC,26.65.101.51
TXN_000060,victim.patel@okidfcbank,21818,CREDIT,2026-09-08 08:46:30.924365,mule.1@okhdfcbank,HDFC,158.69.246.180
TXN_000061,mule.4@okhdfcbank,38226,TRANSFER,2026-09-15 04:46:30.924365,victim.sharma@okaxis,Kotak,71.180.91.11
TXN_000062,victim.sharma@okaxis,49876,DEBIT,2026-08-23 12:46:30.924365,victim.sharma@okaxis,Kotak,74.109.61.89
TXN_000063,victim.patel@okidfcbank,6802,DEBIT,2026-09-13 04:46:30.924365,victim.patel@okidfcbank,ICICI,10.242.192.187
TXN_000064,victim.sharma@okaxis,21420,TRANSFER,2026-09-18 19:46:30.924365,mule.5@okhdfcbank,Kotak,123.2.20.83
TXN_000065,victim.sharma@okaxis,2348,CREDIT,2026-08-31 04:46:30.924365,mule.2@okhdfcbank,SBI,73.80.85.56
TXN_000066,victim.patel@okidfcbank,47629,TRANSFER,2026-08-25 00:46:30.924365,mule.5@okhdfcbank,Kotak,255.59.239.19
TXN_000067,victim.sharma@okaxis,42467,TRANSFER,2026-09-11 23:46:30.924365,mule.5@okhdfcbank,Axis,136.108.65.15
TXN_000068,victim.sharma@okaxis,41577,CREDIT,2026-08-29 07:46:30.924365,victim.sharma@okaxis,Kotak,112.201.162.51
TXN_000069,victim.sharma@okaxis,32657,CREDIT,2026-09-20 13:46:30.924365,mule.5@okhdfcbank,ICICI,159.115.120.81
TXN_000070,victim.patel@okidfcbank,2566,CREDIT,2026-09-02 09:46:30.924365,mule.3@okhdfcbank,Kotak,92.207.177.181
TXN_000071,victim.patel@okidfcbank,1703,DEBIT,2026-09-15 02:46:30.924365,victim.patel@okidfcbank,Kotak,167.86.192.199
TXN_000072,victim.patel@okidfcbank,41695,DEBIT,2026-09-04 19:46:30.924365,mule.5@okhdfcbank,Axis,127.31.12.86
TXN_000073,victim.patel@okidfcbank,31453,CREDIT,2026-08-24 06:46:30.924365,victim.patel@okidfcbank,Kotak,74.56.2.26
TXN_000074,victim.patel@okidfcbank,42125,DEBIT,2026-09-12 05:46:30.924365,mule.5@okhdfcbank,ICICI,252.138.226.39
TXN_000075,victim.patel@okidfcbank,32996,TRANSFER,2026-08-27 08:46:30.924365,mule.1@okhdfcbank,HDFC,107.47.201.246
TXN_000076,mule.1@okhdfcbank,44827,TRANSFER,2026-09-14 19:46:30.924365,mule.3@okhdfcbank,HDFC,114.235.183.145
TXN_000077,mule.4@okhdfcbank,33601,TRANSFER,2026-09-10 22:46:30.924365,victim.patel@okidfcbank,HDFC,193.120.127.255
TXN_000078,victim.patel@okidfcbank,26638,TRANSFER,2026-09-05 07:46:30.924365,mule.5@okhdfcbank,SBI,60.144.93.15
TXN_000079,victim.patel@okidfcbank,25421,CREDIT,2026-09-07 00:46:30.924365,mule.2@okhdfcbank,Kotak,47.159.17.113
TXN_000080,victim.patel@okidfcbank,17707,CREDIT,2026-09-09 21:46:30.924365,mule.2@okhdfcbank,HDFC,149.1.45.165
TXN_000081,mule.1@okhdfcbank,6386,DEBIT,2026-09-04 16:46:30.924365,mule.2@okhdfcbank,SBI,174.176.202.143
TXN_000082,victim.sharma@okaxis,48465,TRANSFER,2026-09-15 07:46:30.924365,victim.sharma@okaxis,HDFC,243.66.246.31
TXN_000083,victim.patel@okidfcbank,42838,DEBIT,2026-08-22 17:46:30.924365,mule.4@okhdfcbank,SBI,209.195.172.209
TXN_000084,victim.patel@okidfcbank,34076,DEBIT,2026-08-22 01:46:30.924365,mule.5@okhdfcbank,ICICI,98.173.237.4
TXN_000085,victim.patel@okidfcbank,1590,DEBIT,2026-08-21 11:46:30.924365,mule.2@okhdfcbank,SBI,138.244.59.227
TXN_000086,victim.sharma@okaxis,44341,CREDIT,2026-09-20 17:46:30.924365,victim.patel@okidfcbank,HDFC,211.49.64.207
TXN_000087,mule.3@okhdfcbank,39289,TRANSFER,2026-08-28 03:46:30.924365,mule.3@okhdfcbank,HDFC,184.249.113.0
TXN_000088,victim.sharma@okaxis,12140,CREDIT,2026-09-04 02:46:30.924365,mule.1@okhdfcbank,Kotak,41.111.192.57
TXN_000089,victim.sharma@okaxis,32555,DEBIT,2026-09-06 03:46:30.924365,victim.sharma@okaxis,Axis,108.122.166.205
TXN_000090,mule.5@okhdfcbank,5540,CREDIT,2026-08-26 09:46:30.924365,mule.3@okhdfcbank,HDFC,133.110.55.1
TXN_000091,victim.patel@okidfcbank,40415,CREDIT,2026-08-21 13:46:30.924365,victim.sharma@okaxis,ICICI,182.100.106.73
TXN_000092,mule.1@okhdfcbank,4251,DEBIT,2026-09-09 21:46:30.924365,mule.5@okhdfcbank,Kotak,150.198.23.114
TXN_000093,victim.sharma@okaxis,1530,DEBIT,2026-08-25 17:46:30.924365,victim.sharma@okaxis,ICICI,209.229.252.25
TXN_000094,victim.patel@okidfcbank,8625,TRANSFER,2026-09-10 14:46:30.924365,mule.1@okhdfcbank,HDFC,166.55.125.213
TXN_000095,victim.sharma@okaxis,30248,TRANSFER,2026-09-03 10:46:30.924365,mule.1@okhdfcbank,Kotak,225.36.205.65
TXN_000096,mule.5@okhdfcbank,36370,TRANSFER,2026-08-25 07:46:30.924365,mule.2@okhdfcbank,SBI,201.157.29.15
TXN_000097,mule.3@okhdfcbank,30737,DEBIT,2026-08-21 08:46:30.924365,victim.sharma@okaxis,SBI,18.219.212.127
TXN_000098,victim.sharma@okaxis,1539,DEBIT,2026-08-22 17:46:30.924365,mule.5@okhdfcbank,Axis,18.177.16.26
TXN_000099,victim.sharma@okaxis,7554,CREDIT,2026-09-12 02:46:30.924365,victim.sharma@okaxis,Kotak,213.186.184.132
TXN_000100,victim.patel@okidfcbank,1753,DEBIT,2026-08-22 21:46:30.924365,mule.5@okhdfcbank,HDFC,204.77.82.235
TXN_000101,mule.5@okhdfcbank,35033,DEBIT,2026-09-04 12:46:30.924365,mule.3@okhdfcbank,HDFC,186.8.186.140
TXN_000102,victim.patel@okidfcbank,4901,CREDIT,2026-09-08 03:46:30.924365,victim.sharma@okaxis,SBI,243.92.234.9
TXN_000103,victim.patel@okidfcbank,7106,TRANSFER,2026-09-06 15:46:30.924365,mule.3@okhdfcbank,Kotak,142.34.56.190
TXN_000104,victim.patel@okidfcbank,26585,TRANSFER,2026-09-04 20:46:30.924365,victim.sharma@okaxis,SBI,108.83.51.110
TXN_000105,victim.sharma@okaxis,20479,TRANSFER,2026-08-21 18:46:30.924365,mule.2@okhdfcbank,Kotak,252.103.112.157
TXN_000106,victim.sharma@okaxis,16759,DEBIT,2026-08-21 09:46:30.924365,victim.sharma@okaxis,HDFC,251.224.21.40
TXN_000107,mule.2@okhdfcbank,46079,CREDIT,2026-09-01 06:46:30.924365,mule.3@okhdfcbank,Axis,101.226.76.60
TXN_000108,victim.patel@okidfcbank,44052,TRANSFER,2026-08-25 03:46:30.924365,mule.2@okhdfcbank,Kotak,192.144.185.208
TXN_000109,victim.sharma@okaxis,39327,TRANSFER,2026-09-01 10:46:30.924365,mule.2@okhdfcbank,HDFC,60.38.148.69
TXN_000110,victim.sharma@okaxis,48627,DEBIT,2026-09-15 19:46:30.924365,mule.3@okhdfcbank,Kotak,167.42.21.56
TXN_000111,victim.sharma@okaxis,33841,TRANSFER,2026-08-21 05:46:30.924365,mule.2@okhdfcbank,Kotak,61.211.17.101
TXN_000112,victim.sharma@okaxis,25253,CREDIT,2026-09-01 01:46:30.924365,mule.2@okhdfcbank,ICICI,47.27.155.124
TXN_000113,victim.patel@okidfcbank,37852,DEBIT,2026-08-25 19:46:30.924365,mule.4@okhdfcbank,Axis,178.251.177.133
TXN_000114,victim.sharma@okaxis,44859,TRANSFER,2026-08-25 10:46:30.924365,mule.5@okhdfcbank,ICICI,114.196.41.99
TXN_000115,mule.2@okhdfcbank,44734,DEBIT,2026-09-18 17:46:30.924365,victim.patel@okidfcbank,HDFC,52.129.129.245
TXN_000116,victim.sharma@okaxis,17766,DEBIT,2026-08-21 03:46:30.924365,victim.sharma@okaxis,SBI,65.226.40.218
TXN_000117,mule.5@okhdfcbank,2999,DEBIT,2026-08-23 13:46:30.924365,mule.5@okhdfcbank,Axis,133.76.251.115
TXN_000118,victim.patel@okidfcbank,5955,CREDIT,2026-08-22 05:46:30.924365,mule.3@okhdfcbank,HDFC,176.10.209.65
TXN_000119,victim.sharma@okaxis,32471,DEBIT,2026-08-24 07:46:30.924365,mule.5@okhdfcbank,ICICI,55.173.130.218
TXN_000120,victim.patel@okidfcbank,9762,DEBIT,2026-09-06 06:46:30.924365,mule.4@okhdfcbank,ICICI,73.156.224.118
TXN_000121,victim.sharma@okaxis,21159,CREDIT,2026-09-04 07:46:30.924365,mule.1@okhdfcbank,ICICI,232.119.172.37
TXN_000122,victim.sharma@okaxis,27684,TRANSFER,2026-08-25 20:46:30.924365,victim.patel@okidfcbank,Kotak,177.129.49.232
TXN_000123,mule.1@okhdfcbank,48596,CREDIT,2026-09-14 18:46:30.924365,mule.1@okhdfcbank,HDFC,237.34.51.253
TXN_000124,mule.3@okhdfcbank,20939,CREDIT,2026-09-05 11:46:30.924365,mule.4@okhdfcbank,SBI,34.31.218.195
TXN_000125,victim.sharma@okaxis,19261,TRANSFER,2026-09-07 06:46:30.924365,mule.2@okhdfcbank,HDFC,28.183.76.249
TXN_000126,victim.sharma@okaxis,18062,TRANSFER,2026-08-21 04:46:30.924365,mule.3@okhdfcbank,HDFC,209.56.184.243
TXN_000127,victim.patel@okidfcbank,10234,CREDIT,2026-09-11 15:46:30.924365,victim.sharma@okaxis,ICICI,234.41.25.133
TXN_000128,mule.5@okhdfcbank,3560,DEBIT,2026-09-15 12:46:30.924365,victim.patel@okidfcbank,HDFC,81.42.161.11
TXN_000129,victim.sharma@okaxis,2330,CREDIT,2026-09-04 15:46:30.924365,mule.3@okhdfcbank,Axis,143.175.116.188
TXN_000130,victim.patel@okidfcbank,20014,TRANSFER,2026-09-11 17:46:30.924365,mule.2@okhdfcbank,Axis,7.180.42.61
TXN_000131,mule.5@okhdfcbank,1722,DEBIT,2026-08-27 05:46:30.924365,victim.patel@okidfcbank,Kotak,187.230.76.59
TXN_000132,mule.2@okhdfcbank,37982,CREDIT,2026-09-17 08:46:30.924365,mule.4@okhdfcbank,SBI,198.124.55.213
TXN_000133,victim.sharma@okaxis,30866,DEBIT,2026-08-23 19:46:30.924365,mule.5@okhdfcbank,HDFC,99.233.94.190
TXN_000134,victim.patel@okidfcbank,23410,TRANSFER,2026-09-14 03:46:30.924365,mule.2@okhdfcbank,Axis,201.56.93.190
TXN_000135,mule.3@okhdfcbank,46061,CREDIT,2026-09-05 06:46:30.924365,mule.2@okhdfcbank,Kotak,146.252.117.11
TXN_000136,victim.sharma@okaxis,20852,DEBIT,2026-09-19 15:46:30.924365,mule.1@okhdfcbank,Axis,191.97.237.127
TXN_000137,mule.1@okhdfcbank,15059,DEBIT,2026-08-29 15:46:30.924365,mule.4@okhdfcbank,Axis,51.222.206.164
TXN_000138,victim.patel@okidfcbank,13922,CREDIT,2026-08-23 21:46:30.924365,mule.1@okhdfcbank,Kotak,5.38.1.251
TXN_000139,mule.5@okhdfcbank,3195,DEBIT,2026-09-05 23:46:30.924365,mule.5@okhdfcbank,Axis,62.223.171.183
TXN_000140,victim.patel@okidfcbank,12638,CREDIT,2026-08-31 20:46:30.924365,mule.4@okhdfcbank,SBI,8.204.130.82
TXN_000141,victim.patel@okidfcbank,13471,TRANSFER,2026-08-23 14:46:30.924365,mule.3@okhdfcbank,ICICI,91.127.60.11
TXN_000142,victim.patel@okidfcbank,22545,DEBIT,2026-08-21 14:46:30.924365,mule.2@okhdfcbank,Axis,161.251.227.124
TXN_000143,mule.3@okhdfcbank,27663,TRANSFER,2026-09-08 23:46:30.924365,victim.patel@okidfcbank,ICICI,36.106.28.241
TXN_000144,victim.patel@okidfcbank,5910,DEBIT,2026-09-06 20:46:30.924365,mule.4@okhdfcbank,Kotak,231.34.208.208
TXN_000145,victim.patel@okidfcbank,33386,TRANSFER,2026-09-07 16:46:30.924365,mule.4@okhdfcbank,SBI,151.53.83.18
TXN_000146,victim.patel@okidfcbank,42502,DEBIT,2026-09-16 23:46:30.924365,victim.patel@okidfcbank,Axis,101.226.134.101
TXN_000147,mule.2@okhdfcbank,21224,CREDIT,2026-08-22 00:46:30.924365,mule.5@okhdfcbank,ICICI,228.123.19.28
TXN_000148,victim.patel@okidfcbank,47916,TRANSFER,2026-09-05 13:46:30.924365,mule.3@okhdfcbank,ICICI,38.220.152.25
TXN_000149,mule.4@okhdfcbank,11142,CREDIT,2026-09-01 01:46:30.924365,victim.sharma@okaxis,ICICI,64.237.21.194
TXN_000150,victim.patel@okidfcbank,45126,TRANSFER,2026-08-25 06:46:30.924365,mule.1@okhdfcbank,Axis,96.13.104.154
TXN_000151,victim.patel@okidfcbank,13581,DEBIT,2026-08-27 02:46:30.924365,mule.2@okhdfcbank,SBI,171.122.101.146
TXN_000152,victim.patel@okidfcbank,45703,CREDIT,2026-08-23 00:46:30.924365,mule.4@okhdfcbank,Kotak,129.225.191.16
TXN_000153,victim.patel@okidfcbank,49734,DEBIT,2026-08-27 19:46:30.924365,mule.4@okhdfcbank,Kotak,191.212.231.229
TXN_000154,mule.1@okhdfcbank,38646,DEBIT,2026-09-18 20:46:30.924365,mule.4@okhdfcbank,SBI,217.190.69.19
TXN_000155,victim.patel@okidfcbank,39984,DEBIT,2026-09-07 06:46:30.924365,mule.4@okhdfcbank,Axis,202.109.166.177
TXN_000156,victim.patel@okidfcbank,38089,TRANSFER,2026-08-24 17:46:30.924365,victim.patel@okidfcbank,Axis,37.25.106.134
TXN_000157,mule.4@okhdfcbank,17335,TRANSFER,2026-09-18 07:46:30.924365,mule.1@okhdfcbank,HDFC,128.174.22.25
TXN_000158,victim.patel@okidfcbank,27526,DEBIT,2026-09-11 11:46:30.924365,mule.3@okhdfcbank,Axis,199.79.81.0
TXN_000159,victim.patel@okidfcbank,35152,DEBIT,2026-08-30 05:46:30.924365,mule.2@okhdfcbank,Axis,102.127.32.205
TXN_000160,victim.patel@okidfcbank,22616,DEBIT,2026-08-24 19:46:30.924365,mule.4@okhdfcbank,ICICI,247.123.172.77
TXN_000161,victim.patel@okidfcbank,4937,CREDIT,2026-09-02 01:46:30.924365,mule.5@okhdfcbank,Kotak,88.36.234.176
TXN_000162,victim.patel@okidfcbank,18642,CREDIT,2026-09-08 19:46:30.924365,victim.patel@okidfcbank,Axis,49.157.243.67
TXN_000163,mule.3@okhdfcbank,1438,CREDIT,2026-08-29 19:46:30.924365,mule.4@okhdfcbank,Axis,179.53.77.252
TXN_000164,mule.3@okhdfcbank,38620,DEBIT,2026-09-03 09:46:30.924365,victim.patel@okidfcbank,Axis,76.179.229.176
TXN_000165,mule.5@okhdfcbank,15687,CREDIT,2026-08-23 02:46:30.924365,mule.3@okhdfcbank,Kotak,206.25.76.90
TXN_000166,victim.sharma@okaxis,15134,DEBIT,2026-09-13 17:46:30.924365,victim.patel@okidfcbank,Axis,165.199.126.150
TXN_000167,mule.4@okhdfcbank,23605,TRANSFER,2026-09-18 02:46:30.924365,mule.5@okhdfcbank,Kotak,169.219.255.1
TXN_000168,victim.patel@okidfcbank,42111,CREDIT,2026-09-12 17:46:30.924365,mule.2@okhdfcbank,Kotak,183.43.203.123
TXN_000169,victim.sharma@okaxis,35255,DEBIT,2026-09-07 00:46:30.924365,mule.3@okhdfcbank,SBI,252.77.126.79
TXN_000170,mule.3@okhdfcbank,27523,TRANSFER,2026-09-10 07:46:30.924365,mule.2@okhdfcbank,SBI,199.147.92.241
TXN_000171,victim.sharma@okaxis,41981,CREDIT,2026-09-20 02:46:30.924365,mule.3@okhdfcbank,Axis,245.18.158.69
TXN_000172,mule.2@okhdfcbank,25191,CREDIT,2026-09-10 07:46:30.924365,mule.4@okhdfcbank,Axis,7.218.26.120
TXN_000173,victim.patel@okidfcbank,40172,CREDIT,2026-09-15 10:46:30.924365,mule.4@okhdfcbank,Axis,151.84.47.184
TXN_000174,victim.patel@okidfcbank,46936,CREDIT,2026-09-20 14:46:30.924365,mule.2@okhdfcbank,HDFC,35.242.53.105
TXN_000175,victim.sharma@okaxis,23349,DEBIT,2026-08-23 10:46:30.924365,mule.2@okhdfcbank,Kotak,8.255.176.21
TXN_000176,victim.patel@okidfcbank,37461,TRANSFER,2026-09-08 12:46:30.924365,victim.patel@okidfcbank,Kotak,91.129.16.64
TXN_000177,victim.patel@okidfcbank,33924,CREDIT,2026-08-22 17:46:30.924365,mule.4@okhdfcbank,Kotak,118.141.19.116
TXN_000178,victim.patel@okidfcbank,8254,CREDIT,2026-08-31 12:46:30.924365,victim.sharma@okaxis,ICICI,107.135.159.208
TXN_000179,victim.sharma@okaxis,32279,DEBIT,2026-09-17 23:46:30.924365,mule.1@okhdfcbank,Kotak,63.219.135.222
TXN_000180,victim.patel@okidfcbank,29645,TRANSFER,2026-09-04 22:46:30.924365,victim.patel@okidfcbank,Axis,130.143.13.229
TXN_000181,victim.patel@okidfcbank,14712,CREDIT,2026-08-25 08:46:30.924365,mule.4@okhdfcbank,Kotak,169.26.157.232
TXN_000182,victim.patel@okidfcbank,29055,CREDIT,2026-09-02 00:46:30.924365,victim.sharma@okaxis,SBI,117.218.17.155
TXN_000183,victim.patel@okidfcbank,19913,CREDIT,2026-09-08 03:46:30.924365,mule.4@okhdfcbank,Axis,7.221.13.253
TXN_000184,victim.sharma@okaxis,10329,TRANSFER,2026-09-17 15:46:30.924365,mule.4@okhdfcbank,Kotak,215.96.185.65
TXN_000185,victim.patel@okidfcbank,43697,DEBIT,2026-09-08 03:46:30.924365,mule.2@okhdfcbank,Kotak,184.185.33.185
TXN_000186,victim.patel@okidfcbank,19671,DEBIT,2026-08-27 12:46:30.924365,victim.sharma@okaxis,Kotak,181.178.34.164
TXN_000187,victim.patel@okidfcbank,18327,DEBIT,2026-08-23 23:46:30.924365,mule.4@okhdfcbank,ICICI,154.148.222.194
TXN_000188,victim.sharma@okaxis,23879,DEBIT,2026-08-31 04:46:30.924365,victim.sharma@okaxis,SBI,85.98.6.125
TXN_000189,mule.1@okhdfcbank,19071,TRANSFER,2026-08-26 08:46:30.924365,mule.5@okhdfcbank,Kotak,205.179.127.80
TXN_000190,mule.1@okhdfcbank,31126,CREDIT,2026-08-29 21:46:30.924365,victim.patel@okidfcbank,SBI,140.48.46.206
TXN_000191,victim.sharma@okaxis,14988,TRANSFER,2026-08-31 10:46:30.924365,mule.4@okhdfcbank,ICICI,90.188.45.215
TXN_000192,victim.sharma@okaxis,49296,DEBIT,2026-08-30 15:46:30.924365,mule.4@okhdfcbank,ICICI,108.209.111.177
TXN_000193,mule.2@okhdfcbank,21416,DEBIT,2026-08-27 16:46:30.924365,mule.3@okhdfcbank,ICICI,206.78.190.133
TXN_000194,victim.sharma@okaxis,42616,TRANSFER,2026-09-09 07:46:30.924365,victim.patel@okidfcbank,ICICI,128.98.87.209
TXN_000195,victim.patel@okidfcbank,28770,CREDIT,2026-09-02 22:46:30.924365,mule.5@okhdfcbank,ICICI,27.122.178.43
TXN_000196,victim.sharma@okaxis,15534,CREDIT,2026-08-20 18:46:30.924365,mule.4@okhdfcbank,SBI,173.199.250.13
